geoid,timestep,deaths_sp_lag,INTPTLAT,INTPTLON,timestep,svi_theme1,svi_theme2,svi_theme3,svi_theme4,svi_total_,prev_deaths_05back,prev_deaths_04back,prev_deaths_03back,prev_deaths_02back,prev_deaths_01back
17031140301,2,0.25,41.9692055,-87.7231695,2,0.7629,0.3581,0.9775,0.6805,0.7816,0.0,0.0,0.0,0.0,0.0
17031140302,2,0.16666666666666666,41.9724938,-87.7237561,2,0.6839,0.3886,0.9188,0.9261,0.8336,0.0,0.0,0.0,0.0,0.0
17031140400,2,0.3333333333333333,41.9715371,-87.7389429,2,0.4716,0.2309,0.8501,0.3985,0.4825,0.0,0.0,0.0,0.0,0.0
17031140500,2,0.0,41.9653619,-87.7318319,2,0.6508,0.343,0.9326,0.4165,0.6402,0.0,0.0,0.0,0.0,0.0
17031140601,2,0.0,41.9646471,-87.7258909,2,0.7096,0.1153,0.9676,0.8478,0.7433,0.0,0.0,0.0,0.0,0.0
17031140602,2,0.25,41.964652,-87.7210166,2,0.8551,0.4965,0.9547,0.6297,0.8362,0.0,0.0,0.0,0.0,0.0
17031140701,2,0.2857142857142857,41.9670375,-87.7126524,2,0.6046,0.1387,0.9178,0.9127,0.7151,0.0,0.0,0.0,0.0,1.0
17031140702,2,0.14285714285714285,41.9635482,-87.7135753,2,0.7498,0.2164,0.9496,0.8568,0.7983,0.0,0.0,0.0,0.0,0.0
17031140800,2,0.3333333333333333,41.9645144,-87.7028469,2,0.4764,0.0536,0.8639,0.5112,0.4147,0.0,0.0,0.0,0.0,0.0
17031150200,2,1.1111111111111112,41.9606747,-87.7524131,2,0.5593,0.0517,0.7576,0.7505,0.5072,0.0,0.0,0.0,0.0,2.0
17031150300,2,0.875,41.9605179,-87.7622859,2,0.3784,0.2357,0.7778,0.6503,0.505,0.0,0.0,0.0,0.0,0.0
17031150401,2,0.5,41.9645676,-87.7722648,2,0.4131,0.6994,0.7596,0.5225,0.5927,0.0,0.0,0.0,0.0,0.0
17031150402,2,1.0,41.9567979,-87.7720436,2,0.5705,0.1564,0.7701,0.2425,0.4221,0.0,0.0,0.0,0.0,0.0
17031150501,2,0.7142857142857143,41.9644762,-87.7819639,2,0.53,0.1506,0.7753,0.4204,0.4722,0.0,0.0,0.0,0.0,1.0
